index,REQUESTID,STRSEGID,REQUESTTYP,Request_type,REQUESTDAT,Day,COMMENTS,USERTYPE,NEAR_INTER,NEAR_STR,SNA_NAME,0
2510,1947,4692860214546929352639,Double Parking,Double Parking,2/12/2018,Mon,"There is a grey Honda Civic that always parks on the road, right next to a sign on a telephone pole that states ""No parking on pavement."" It creates a hazard for drivers who have very small space to get by this car. This is a single lane road.",drives,MORROW ST & ROCKLAND AV,Rockland Av,Mt. Washington,
2511,1948,3316827817433169747858,Lack of Visibility,Lack of Visibility,2/12/2018,Mon,Can't see approaching pedestrians or cars when turning from College St. onto 6th St. Needs a traffic/convex mirror.,drives,COLLEGE ST & W 6TH ST,College St,Downtown,
2512,1949,4692525205046925392171,Parking on the sidewalk,Parking on the sidewalk,2/12/2018,Mon,"This entire street parks vehicles on the sidewalk, making it impossible for a pedestrian to use the sidewalk.",walks,CAMPBELL AL & CAMPBELL AL TERM E OF SUTTON AV,Lehigh Av,Mt. Washington,
2513,1933,4702668456747029444565,Crosswalk Needed,Crosswalk Needed,2/12/2018,Mon,"This is an area where pedestrians cross all times of the day, and vehicles speed way over the 25 mph limit. Someone is going to die here.",drives,PLAZA AV & BEECHMONT AV,Plaza Av,Mt. Washington,"Traffic moves at an insane speed for a business district. Combine that with all the people trying to cross the street, and it is a recipe for disaster. Pedestrians should walk to the crosswalk at Beechmont and Corbly.  There can't be a crosswalk every two blocks because people don't want to have to walk an extra distance. I agree"
2516,1934,3317170812733172117895,Other,Other,2/12/2018,Mon,"The valet parking at these hotels causes congestion and chaos, especially with the garage entrance and the crosswalk. The cars are in the way and hard to see around.",travels (other),GANO ST & VINE ST,Vine St,Downtown,
2517,1950,3676897811236772788259,Crosswalk Needed,Crosswalk Needed,2/12/2018,Mon,There is limited visability of traffic that moves at least the 35 MPH speed limit.  There are accessibility ramps and bus stops on both sides of the street but no crosswalk.,walks,PADDOCK RD & STRATFORD PL,Stratford Pl,North Avondale - Paddock Hills,
2518,1951,4250344569342504276774,""" src=""images/08 - Failure to yield while going straight.png""></span>&nbsp;Parking too close to intersection",Parking too close to intersection,2/12/2018,Mon,,drives,MINOT AV & 34TH AV,34th Av,Oakley,
2519,1952,3646785229236475002197,Speeding,Speeding,2/12/2018,Mon,Xavier dismisses the traffic gets backed up from Fairpark and northbend light the kids turn right onto vankirk and then onto W73rd or 72nd race down the street  to get ahead of them 230-315 pm,walks,GRANITE AL & WILLOW AL,W 73rd St,Carthage,
2520,1969,3714416426037144224518,Speeding,Speeding,2/12/2018,Mon,This should be a 4-Way Stop at Nassau/Kemper/Luray.,drives,LURAY AV & NASSAU ST,Kemper Ln,Walnut Hills,Agreed.  Too dangerous as is.
2521,1970,3707230668937073836906,Crosswalk Needed,Crosswalk Needed,2/12/2018,Mon,"A crosswalk is needed here so that people can cross Woodburn, and to slow traffic.",walks,WOODBURN AV & BURDETTE CT,Woodburn Av,East Walnut Hills,Agreed!
2522,1971,4754672590947547046212,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/13/2018,Tue,At this intersection vehicles frequently don't stop or even slow down.,walks,ROE ST & BLANEY AV,Blaney Av,Madisonville,
2523,1972,4763277817047638178111,Speeding,Speeding,2/13/2018,Tue,Many drivers seem to treat Madison road as if it were part of the Interstate highway system.,walks,GLENSHADE AV & MADISON RD,Madison Rd,Madisonville,
2524,1973,4762429826347632198175,Crosswalk Needed,Crosswalk Needed,2/13/2018,Tue,This is a long block with few places to cross.,walks,GLENSHADE AV & MADISON RD,Madison Rd,Madisonville,
2525,1974,4702936523647030366306,Speeding,Speeding,2/13/2018,Tue,"My goodness. The ""Beechmont Hill"" has people going 50 in a 35 mph zone, and this is slow. This is a residential community, not a highway.",drives,BEECHMONT AV & WASIGO DR,Beechmont Av,Mt. Washington,"I agree. If you need to turn left from Beechmont to get into a neighborhood in this area, there is an increased chance of being rear-ended or t-boned. The speeding issue on this hill is real- very scary to drive (and especially scary to try to turn left into Wasigo!)"
2527,1975,4704883414047049895014,No Sidewalks,No Sidewalks,2/13/2018,Tue,"This is a major artery for children walking to Sands Montessori. Dozens of kids walk this road each day, because thee are no sidewalks. A child will get hit and killed by a car on this stretch. Mark my words. This is unacceptable.",walks,CORBLY ST & SUSSEX AV,Sussex Av,Mt. Washington,"I live on this street and a sidewalk is definitely needed. Even the fire trucks rush down this street daily. I agree, very dangerous for kids This is very dangerous area for pedestrians, which include many children walking to and from school at Sands Montessori. Please invest in a sidewalk along Sussex! I agree!  I drive on Sussex every day.  The street itself is barely wide enough for two cars let alone anyone, especially children, walking down the street.  Completely unsafe for anyone walking. I have lived here for 8 years and my children are Sands alumni.  A sidewalk is long overdue.  It is extremely unsafe for pedestrians. We need a sidewalk here. Cars speed up and down this street while kids are walking to and from school. Someone is going to get hurt. I agree."
2534,1976,4250594525942513765035,Lack of Visibility,Lack of Visibility,2/13/2018,Tue,I had to pull my child out from in front of a car in this intersection. There are cars trying to go so many directions and get through lights and block the intersection. Vehicles are prioritized over pedestrians,walks,DRAKEWOOD DR & MARKBREIT AV,Markbreit Av,Oakley,
2535,1977,4249544068042400020609,Speeding,Speeding,2/13/2018,Tue,I was hit by a car because of the speed at this intersection!,drives,PAXTON AV & ERIE AV,Erie Av,Hyde Park,"I agree, this is a residential street, speed should be reduced, should be reduced to 2-lane (1-lane each side) I agree. Agree!"
2538,1978,4261476776342620687705,Crosswalk Needed,Crosswalk Needed,2/13/2018,Tue,Where are the crosswalks? This whole area is so suburban and pedestrian unfriendly. It was clearly designed by developers.,walks,APPLETON ST & ENYART AV,Vandercar Wy,Oakley,
2539,1979,4077368122240774502039,Jaywalking,Jaywalking,2/13/2018,Tue,"Too many people park in key bank lot on weekends and run/dart into traffic at this spot. It?ÇÖs very unsafe, I have seen multiple people almost get hit by cars here.",bikes,EDWARDS RD & GREGSON PL,Edwards Rd,Hyde Park,
2540,1980,4751397514347515675123,Other,Other,2/13/2018,Tue,There is a massive pot hole that has still not been fixed here.,drives,BRAMBLE AV & WHETSEL AV,Bramble Av,Madisonville,"As a safety issue, I have seen cars not see it and swerve to avoid it- putting everyone walking, biking, and driving in danger"
2541,1981,4251157324842518784183,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/13/2018,Tue,"This shopping center is so unsafe to walk through on foot. Getting to the rec center, a city building, in the back on foot. I try to take my young children on foot or on their bikes and it is very unsafe.",walks,PAXTON AV & FERDINAND PL,Paxton Av,Oakley,I agree
2542,1982,3357688058933577110452,Double Parking,Double Parking,2/13/2018,Tue,"Taxi stands in the area are inadequate, so taxis often double-park.  Cars then weave back and forth going north on Main, making for a dangerous situation.",drives,GREAR AL & MAIN ST,Main St,Over-the-Rhine,
2543,1983,4685220888146859678796,No Sidewalks,No Sidewalks,2/13/2018,Tue,Glade is dangerous as cars go too fast every day and there's no place safe to occasionally go when cars come too close.  If the city refuses to do sidewalks then we need speed bumps!,walks,GLADE AV & ANTOINETTE AV,Glade Av,Mt. Washington,"I agree! When walking, there's no place to step out of the way of people speeding by. It's absolutely frightening."
2544,2264,3389786105133898271414,""" src=""images/05 - Red light running.png""></span>&nbsp;Vehicles run red lights or stop signs",Vehicles run red lights or stop signs,2/13/2018,Tue,Vehicles pulling into Holmes Hospital run the stop sign.  Watched 3 cars in a row run the stop sign in front of the shuttle that had the right of way.,travels (other),EDEN AV & ALBERT SABIN WY,Eden Av,Corryville,
2545,2276,4282069768842822217347,Other,Other,2/13/2018,Tue,Cars eastbound on Ridge rounding this bend (posted speed limit 25 mph) regularly speed. Line of sight is very poor here; I'm amazed there's not been more accidents and fatalities between cars exiting Troy and those driving on Ridge.,drives,TROY AV & RIDGE AV,Ridge Av,Pleasant Ridge,I agree Agree. Visibility and speeding are a problem here.
2547,2277,4281305741842822217347,Other,Other,2/13/2018,Tue,Troy is a narrow street that often gets used by speeding cars as an escape route in morning rush hour due to the backup at Ridge & Montgomery.,travels (other),RIDGE AV & HARVEST AV,Troy Av,Pleasant Ridge,"There's inadequate space for cars to get by each other on Troy, and cars are allowed to park too close to the intersections at Ridge and Cortelyou Ave."
2548,2278,4281373708942816386680,Lack of Visibility,Lack of Visibility,2/13/2018,Tue,Cars exiting the alley cannot see pedestrians until they are upon them. This intersection needs a mirror for drivers.,walks,ALLEY & LOSANTIVILLE AV,Losantiville Av,Pleasant Ridge,
2549,2279,4282243655342822506396,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/13/2018,Tue,,walks,MONTWOOD AL & RIDGE AV,Ridge Av,Pleasant Ridge,
2550,2280,4282243622142830976225,Other,Other,2/13/2018,Tue,Traffic is too heavy during rush hour to allow eastbound Ridge Road traffic to turn left onto Orion.,drives,RIDGE AV & ORION AV,Orion Av,Pleasant Ridge,
2551,2281,4702939484347029444565,Jaywalking,Jaywalking,2/13/2018,Tue,Residents from the apartments on Salvador are constantly Jaywalking to shop at the dairymart. It has been a long on going issue,drives,BEECHMONT AV & ROXBURY ST,Beechmont Av,Mt. Washington,"I agree.  There is rampant jaywalking here and it is a very dangerous spot to cross. Jaywalking is a concern here. The light is only a block away, maybe ticket here to force pedestrians to use actual crosswalk Stansbery Park area could use cameras and police patrol
Otherwise it is not worth walking there nor is it worth 
maintaining as a city park."
2554,2282,2883543818028835868650,Double Parking,Double Parking,2/13/2018,Tue,,drives,GRAND AV & BODLEY AV,Grand Av,East Price Hill,
2555,2283,3372959500737030125568,Other,Other,2/13/2018,Tue,I see sooo many head on wrecks here!!! People traveling north on florence often dont realize they have to yield to turn onto Concord and just turn without any notice right infront of drivers traveling south on florence resulting in head on wrecks.,drives,FLORENCE AV & CONCORD ST,Concord St,Walnut Hills,
2556,2284,2893184592728933396373,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/13/2018,Tue,,drives,GRAND AV & MURDOCK AV,Grand Av,East Price Hill,
2557,2285,2893339637328834557470,Other,Other,2/13/2018,Tue,Residents of condo park here in a no parking zone.  Needs to be enforced.,drives,HAWTHORNE AV & CAMERON PL,Grand Av,East Price Hill,
2558,2286,3284333007632853589997,Speeding,Speeding,2/13/2018,Tue,Very regular occurrence of vehicular accidents due to speeding around the corner.,walks,RIDDLE RD & RIDDLE VIEW LN,Riddle Rd,CUF,
2559,2287,3285495927332855289596,Jaywalking,Jaywalking,2/13/2018,Tue,Very heaving jay-walking on Clifton between Joselin and MLK,walks,PROBASCO ST & CLIFTON AV,Clifton Av,CUF,
2560,2273,3018256630630197816092,Speeding,Speeding,2/13/2018,Tue,Teakwood is often used as a cut through.,walks,LARRY AV & LARRY AV TERM E OF HAMILTON AV,Teakwood Av,College Hill,
2561,2274,3274713369232747884250,Parking too close to intersection,Parking too close to intersection,2/13/2018,Tue,People park to close to the NE corner of the Withfield and SEEvanswood  (both streets) and obstruct the view when turning right on Evanswood.,drives,WHITFIELD AV & EVANSWOOD PL,Whitfield Av,Clifton,"cars parked too close to intersection on all sides, obstructing view."
2562,2275,3408041070234088320041,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/13/2018,Tue,run red light turning left on Kennard.  Poor traffic lights design-extend left turn from Mitchell to kennard by few second during rush hours;change L only lane on Kennard to W Mitchel to straight and L and leave R lane on Kennard for R turn.,drives,KENARD AV & W MITCHELL AV,W Mitchell Av,Spring Grove Village,I agree!
2563,2265,4281770624942822215895,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/13/2018,Tue,They also disobey no right turn on red,walks,MONTGOMERY RD & WOODFORD RD,Woodford Rd,Pleasant Ridge,
2564,2266,4281041597842817706249,Other,Other,2/13/2018,Tue,"This light could use a left turn signal for cars headed north on Montgomery, especially during evening rush hour",drives,MONTGOMERY RD & WOODFORD RD,Montgomery Rd,Pleasant Ridge,
2565,2267,4250344569342504276774,""" src=""images/06 - Speeding.png""></span>&nbsp;Speeding",Speeding,2/13/2018,Tue,Lots of speeding down our street. Concerned about getting hit when backing out for work with cars parked on street.,walks,DEE AL & VERNE AV,34th Av,Oakley,
2566,2268,4201168454342018713161,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/13/2018,Tue,I have stopped at this crosswalk sooo many times on my way home from work to allow the bikers to use the crosswalk but unfortunately it doesnt work because I'm the only person to stop while everyone in the lane next to me just speeds right by.,drives,STITES RD & KELLOGG AV,Kellogg Av,Linwood,"Agree Agree, a flashing light would be nice here."
2568,2269,4084562509340983242810,Other,Other,2/13/2018,Tue,The road is falling apart right around here! Constant potholes and shoddy repair jobs to previous potholes,drives,WALWORTH AV & WALWORTH AV TERM NW OF DELTA AV,Columbia Pkwy,Hyde Park,
2569,2270,2883492778228835428180,Lack of Visibility,Lack of Visibility,2/13/2018,Tue,Difficult to see oncoming traffic just North of Bodley on Grand. Situation is exasperated by cars double-parking just North of the crest of the hill. This is one area where enforcement of double-parking is needed.,drives,GRAND AV & BODLEY AV,Grand Av,East Price Hill,
2570,2271,2500658122328710531183,Lack of Visibility,Lack of Visibility,2/13/2018,Tue,As a driver it is difficult to see that there is a crosswalk here. Pedestrians seem to know to use caution however one of these days .... I' concerned.,drives,MCPHERSON AV & WARSAW AV,Warsaw Av,East Price Hill,
2571,2272,2893339637328834557470,Speeding,Speeding,2/13/2018,Tue,Way too much speed!,drives,HAWTHORNE AV & CAMERON PL,Grand Av,East Price Hill,
